clean_title,sentiment_from_rating
pls buy it,1
great quality of product in all aspects including amazon delivery,1
Good value for money,1
Worth buying it at Rs 349,1
Thanks you,1
Nice,1
Useful,1
Low Cost Earphones,1
Worth the Price or maybe more than it,1
Best ear phones,1
Best product,1
Fair deal,1
Good product,1
Nice headphones under 400,1
Overall great earphones,1
Strongly Recommended,1
Go for it,1
No regrets,1
Excellent,1
Good purchase,1
Amazing Product,1
Want to replace under warranty,1
Ok ok,1
Value for money Sound quality is good,1
A product worth its price,1
Speaker are great Mic has some problem though,1
BoAts excellent earphones,1
Sound quality Bass noise cancellation is excellent,1
Nice,1
Earphones,1
Total Value for Money,1
VFM,1
Fantastic earphones in the price range,1
Good one,1
Very good sound bass quality,1
no doubt best headphome for gaming and listening music,1
It is great but does not gets operated when connected to laptop so that is a bummer,1
Nice Product,1
Cute color,1
Value for the Money Brilliant sound quality for this Price,1
Good headphones with excellent comfort,1
Accessories,1
Go for it It is a cool one,1
Really good because it is do cheap and very good quality and it is branded,1
Great in this price range,1
Using it for 1 year now,1
Good medium range earphone,1
Good but not premium,1
Good quality earphones,1
Good and bad,1
Comfortable in ears money got invested in right place,1
Perfect earphones just love it,1
Bad packaging good headphone,1
Bad experience but could be better,1
Nice one,1
Truly great value for money,1
A good bass,1
It is perfectly ok,1
Sasta aur tikou,1
Superb value,1
Best product,1
Worth it,1
Value for money,1
Simply best,1
nice product,1
Good buy,1
Good product,1
Perfect according to price,1
Gives you the best quality of sound,1
Good performance,1
Superb value for money,1
Good product,1
Amazing,1
Simply amazing,1
best noise cancellation two best best quality sound is too good so curable I loved it,1
Waste of money,1
Value for money,1
Very good sound quality,1
Okay,1
Value for money,1
Perfect value for money earphones for a moderate users,1
in range it is good,1
Excellent,1
It is a good one but not excellent,1
Excellent product no doubt,1
Value for money,1
Very good product,1
Great,1
As expected,1
Worth the price,1
Okay product,1
Product for money,1
Great bass Cool design,1
Loved it,1
Good Earphone,1
Value for money,1
NICE,1
The Clarity is Amazing for the price of this product,1
Xlnt,1
Great buy,1
Awesome quality product worth the money,1
Great,1
Better than any other earphones at this price,1
Good,1
Great Product do not hesistate to buy,1
Value for money,1
Good,1
Good product,1
My earphone not working in left side,1
Everything bout this earphone,1
Bass is so loud,1
Value for money,1
Ok,1
Worth buying,1
Good buy must have for online classes for kids,1
Good quality,1
Good Cheap and make you groove,1
Great product Lovely design Value for Money,1
Value for money,1
Okay,1
Good,1
value for money,1
Average not bad,1
Thin wire,1
It is good,1
Overall good but at times comes out of the ears very easily,1
No complaints,1
Superb earphone,1
Good buy,1
Awesome,1
Quality,1
Worth getting it,1
Warranty service is not available,1
Bang For the buck but bad Mic,1
Best for this price,1
Good for gift with great quality,1
Good one,1
V comfortable while using it,1
Nyc Headset,1
Excellent product,1
Good enough for the money,1
Good product for the price,1
Good quality,1
Must buy Good product,1
Good Product,1
WORTH BUYING,1
Worth money,1
Go for it,1
Nice quality and sound,1
Clarity Wow,1
Good,1
Good So far,1
Great headphones,1
Ok,1
Blindly buy it,1
Good,1
Decent performance,1
Very basic light weight not so durable headphones,1
Nice,1
Overall it is a good product,1
Happy,1
Should you buy these Review after 9 months of use,1
Good product,1
Damn Good,1
Value for money,1
Sound quality,1
Good sound and bass At par with JBL,1
Good choice,1
Good Quality,1
Soo nice,1
Soooooper,1
Excellent ear phones,1
Good Product,1
Looks good but Less sound quality,1
Serves the purpose,1
Good 1,1
Good product value for money,1
Pretty colour,1
Ok,1
Boat bassheads,1
Must buy,1
Branded Stylish Budget Price,1
Nice and clear voice Not for bass lovers it is simple and cute,1
Good quality at cheap price,1
Nice one,1
Best one value for money,1
Good warranty,1
Nice one,1
Nice,1
Good one,1
Value For money Product Best Quality,1
Best within Budget,1
Good earphone at this price segment,1
Not much durable,1
It is above 6 months of using,1
Good,1
Good sound,1
These Are Some Real Good Earphones,1
Best Earphones Loved it,1
Competitive,1
Deep Bass,1
Order again a new one,1
Awesome,1
Har ek ko bass pasand hai,1
The best earphone you can get at this low price,1
I am loving it,1
Very good,1
Must buy this,1
Really good service,1
Good product Value of money I love this product,1
It is an awesome buy,1
Ergonomic design,1
Average product,1
Satisfied,1
Good product,1
Think before buy,1
Good,1
nice esr phones,1
good,1
Budget earphone,1
Value for money,1
Good quality,1
The best Earphones go for it,1
Value for money,1
Best according to it is cheap price,1
Good product,1
Good at the price range But when compared with Sony I used then it does not match the quality,1
Better than expected,1
Boat basshead 100,1
Nice but with a disadvantage,1
Better than Bluetooth earphones,1
Average Product,1
Smart buy,1
Value for money,1
Buy if ur budget is below 400,1
Value for money,1
Ok product,1
Mehed Sarkarr,1
Good one in the given price range,1
Good purchase,1
Good but not Best,1
Super,1
Do not think about this just buy and enjoy music,1
Good,1
Good at moderate volume Unpleasantly loud at high volume,1
Impressive Under 400,1
Good and not good but Boat earphones metal wala good quality,1
Very good quality,1
Good Product at reasonable price,1
good headphones in this range,1
They mentioned boat Bassheads the product was BoAt but there is no BasS,1
Do not think much Just Buy it,1
Good product,1
Really nice,1
Nice reasonable,1
Great and must buy product with all devices compatibility,1
One of the best earphone in market,1
good product not best,1
Beautiful sound,1
Great sound experience,1
Boat is just wonderful,1
Finally an affordable cute earphone that I love,1
Good for BassHeads,1
Product is brilliant in this price range but its earbuds plastic and wire quality is not so good,1
DECENT EARPHONES,1
All well,1
Ear hurts,1
Bass hurts,1
Sound quality good,1
Good to have,1
Awesome,1
Value for money,1
Go for it,1
Good one,1
Excellent product at this price Highly recommend,1
Meets the expectation given the price,1
Durable good sound quality,1
Everege low price earphone,1
Paisa Wasool,1
The sound quality is very good,1
Good earphones at this price They look feeble but they are tough and sturdy,1
Overall good just a bit low on bass,1
No second guess,1
Economic,1
Best Begineers casual headset,1
on of the best ever Boat is goat,1
Nice colour nice sound and quality of wire is very good,1
Value for money but in my case right earpiece stopped working within 2 3 day of purchase,1
Good,1
Mic is not Working Properly,1
Good,1
You can buy them and enjoy good quality sound,1
Value for money,1
Nice Product,1
Excellent using from july,1
A decent buy,1
Nice product,1
Best earphone under 500 even material quality is good,1
Great product,1
Good,1
Good but not the best,1
Best in this price range,1
Lovely Pink,1
Quality product,1
Full to paisa wasool wala headset,1
Good buy,1
I have got the earphones replaced and they are really good,1
Quality headphones with less price,1
Worth purchase,1
Just one,1
Nice,1
Sound quality is decent enough for the price,1
great headphones,1
Good,1
Very good,1
One of the best ever,1
Decent purchase,1
Nice product in affordable price,1
Value for money,1
Like it for the price,1
DO NOT JUDGE BY THE PRICE,1
Very satisfied,1
Very nice,1
Nice product,1
Awesome,1
Amazing service and product,1
Quality,1
Best earphone of the price range,1
Loved it,1
Good for routine use,1
The Most Durable and BEST Earphones,1
Worth of money,1
Good product,1
Nice products,1
Put your earphones and feel the music of boat,1
Boat rockerz,1
Best Earphones with Awesome Sound and Bass,1
Ok,1
After using 3 months left ear side stop working and after 6 months now its time to replace another,1
Pointed design,1
Lovely,1
Build Quality is upto Mark,1
Good quality,1
Not go for bluetooth devices go best wired headphone,1
Awesome,1
Good one,1
Value for money,1
Defective twice,1
Totally Best,1
Nice,1
Very Good Headset,1
Worth price,1
Defective piece,1
Nice,1
Sound quality,1
Best is price,1
Worth the price,1
Bad bass,1
Good,1
Boat pink,1
Love you Amazon,1
Nice product,1
Good,1
Ok,1
SUPER BASS QUALITY in just 349,1
Much more in less kind of earphone,1
Best earphone in india in this price only 299,1
Great Go for it,1
Nice stuff,1
Good one,1
Sound and bass quality is good,1
Good for music only not for gaming,1
Nice and loud,1
Impressed by customer service,1
Sound makes crazy and fall in love with boat,1
Maina fraud karka product mangvaya aur vo gum ho geya,1
nice product,1
Great for the price,1
Satisfied with this product,1
Good product,1
worth for money,1
Good,1
Good quality,1
Great sound bass packaging and handling fast delivery,1
Good sound quality,1
Best Headphones under Rs 500,1
Very clear sound and strong bass,1
Value for money,1
Nice,1
Gud but individual wire length is short,1
Quite ok,1
Best deal,1
good,1
Product reviews,1
Comfort,1
Mumma loves it,1
Quality product,1
Good quality,1
Quality Headphones,1
Best headphone in this range,1
Budget Earphone,1
Good quality for the price,1
Overall good but buds too loose,1
Amazing,1
Best in this cost,1
Good,1
5 Start Product,1
Good sound quality and quick delivery,1
Red color,1
1 Star product,1
Value for money paid,1
Nice Boat,1
Awesome,1
Great product for the price,1
Decent earphones,1
Above average product,1
Totally Worth It,1
Simply amazing,1
Good,1
Good and worthy,1
Boat,1
Nice,1
Worth for the money,1
Great deal,1
Worth it,1
Most Recommended,1
Good pair of basic headphone,1
Cheap and best,1
Good,1
Serves the purpose,1
awosome sound,1
Nice,1
Satisfied,1
Amazing product but noise cancellation and bass is compromised,1
Value for money,1
Value for money,1
Best,1
Performance is good but have some errors,1
Made in China but i,1
I purchased Nov 2020 exactly after 11 months it is not working I feel maximum 1 year the life time,1
On time delivery,1
Paisa vasool,1
Best budget hearphones,1
Good,1
I LOVED IT,1
It is good,1
Satisfied with the purchase,1
good quality,1
Great,1
Good and worth the price,1
379 buks is less for this Just awesome,1
Fantastic performance even after 2 months use,1
Value for money,1
Thank you Boat,1
Go for it,1
Excellent product good sound and long lasting I use it for office calls,1
This is the best earphones uh can get at this price they are bombb,1
I want good volume and product want come for me long days,1
Awesome product,1
Best choice,1
Best,1
Cheap and best,1
Great product,1
Worth for money,1
Nice,1
5 no,1
Durable hands free,1
Quality and affordable,1
Great earphones at this price,1
If you are looking for carefree and budget buy GO FOR THESE,1
Worth the price,1
SATISFIED,1
Good,1
More good product at this price,1
Presidio is super,1
Affordable and best product,1
WORTH IT,1
I am very Happy with this product,1
Good quality product,1
A good alternative,1
Good one with the price tag,1
Look like same valu of money,1
Value for money,1
Sound Quality is good,1
Good,1
Good,1
I m satisfied,1
Good product,1
Very good product,1
excellent sound quality,1
Good Sound Quality At This Price,1
Value for money,1
Great sound,1
Average,1
Value for money,1
Awesome Hearphone,1
Color,1
Best quality,1
Joy,1
average product,1
Overall good,1
Good,1
Very Good,1
A tiny issue issue with microphone,1
Complete value for money,1
Nice product,1
Overall Good Quality,1
Good,1
Easy to cary,1
Cheap,1
Very very very very very very very very good,1
Superb quality,1
Great sound and fit,1
Good,1
Fully Satisfied,1
Average quality product,1
Good,1
Good one,1
Best product ty amazon,1
Good product,1
Good bass But sound clearity is not good as espected,1
Clear sound ergonomic design and colourful options,1
for calling its better but for listening music not good and no bass present in this earphone,1
Good product,1
Go for it Guys,1
Worth of money,1
Value for money,1
Nailed it,1
Dam good,1
Good,1
Good,1
Awesome Product,1
Worth buying,1
Quality,1
Awesome sound Go for it,1
Gud 1,1
Value for money,1
One of the best in this price range,1
Smooth quality,1
Go for it,1
Good quality,1
Amazing at this price,1
No issues,1
Love the color,1
Nice earphones,1
Just awsome Unbeatable,1
Nice product,1
Not as per expectation,1
Excellent product,1
Good but,1
awsome buy,1
Worth every penny,1
So far so good,1
Good Headphone To Buy,1
You get what you pay for,1
Nice,1
Highly recommended to purchase,1
Good product,1
Superb,1
Go for it,1
repair,1
Design is very cool,1
Good product,1
Good,1
Great for music OK for gaming,1
Best product,1
Loved it,1
Best buy in the price range,1
Good,1
Good could had been a little better,1
Worth it,1
Sound Quality is good,1
Good product,1
Excellent headphone,1
boAt in Boat,1
Superb,1
Earphones are okk,1
Listen music with Boat,1
Very good product Go for it,1
Really Good product in this price,1
Best but Bass quality is lower than expected,1
Value for money,1
Not BASS HEADS,1
Pretty Decent,1
Clarity in sound,1
Really nice product,1
Average,1
It is a good earphone it has a good bass and it is best for gaming,1
Good work,1
Sound quality,1
Good,1
Value for money,1
Good,1
Must Buy at this price,1
Do not like this earphone but wait it will get better every day,1
A good product woth the money,1
Good Package at a low Price,1
Worth It,1
Just as expected,1
Good one,1
Value for money,1
Nice Product,1
Good to buy,1
Ok,1
Value for money,1
Good,1
Feel if awesome quality,1
For the price very good,1
Satisfied,1
Good,1
Best earphones,1
Worth it Just for it,1
Good one,1
Fine,1
Good product,1
Awesome,1
Wire quality is weak,1
Great Headphones with Bass at low price,1
BUY IT ITS VERYYY GOODDD,1
Superb,1
Good,1
Nice,1
best headset,1
Worth the price,1
Value for money,1
I just love it,1
Nice product,1
Totally worth awesome quality,1
Il buy it again,1
Value for money,1
Average,1
Best earphone for Budget range,1
pretty good,1
Vfm earphones,1
Good purchase,1
GOOD,1
Value for money,1
Mike is not good,1
Good product,1
Nice,1
Awesome sound quality,1
Go on without a second thought,1
Excellent product worth for money,1
Good,1
Best earphones in this price range,1
Value of money,1
Excellent value for money,1
Sound quality is good,1
One of the best quality and best company,1
Good Product,1
value for money,1
Product is very good,1
Nice product with good quality,1
Budget earphone with decent crisp sound,1
Great Product,1
Cute colour good quality earphones,1
great sound great product thank to Amazon,1
Good,1
Sturdy and beautiful sound,1
Help full for both music and call,1
Bass poor,1
Customer,1
Best buy under 500 bucks for a headphone,1
Good quality,1
Awesome boAt BassHeads 100 in Ear Wired Earphones with Super Extra Bass,1
Value for Money Cords,1
Go for it,1
Exalent,1
Amazing Base,1
Unisex inside ear phone,1
Amazing earphone,1
Value for money,1
Best One Around,1
Great experience,1
Wow,1
Good product Worth the money,1
Great and Balanced Sound Quality,1
Nice earphone,1
It is worth its price good sound quality according to its price,1
Sound,1
Great quality at the offered price range,1
Good one for regular use,1
Worst services of customer care,1
Go for it,1
Value for money,1
Go for it,1
Good for music listen,1
Pink,1
Fine product,1
It works and it is fine,1
Ok,1
Worth to spend money on it,1
Awesome,1
Awesome and affordable,1
Must go for it,1
Good n sturdy so far,1
Best in less amount,1
Just Awesome base and Vocal quality,1
The quality of product is good,1
Value for money,1
best product I ever ordered,1
Beautiful,1
Good product,1
Bestt Earphones,1
Value of money,1
Good basic headphone Bass not to that extent But ok,1
Good One,1
Ok product,1
Everything good about it,1
Excellent go for it,1
Cool,1
Not good product,1
Good product worth for the price,1
Good Product at low price,1
Excellent for the price range,1
Excellent,1
Good product,1
Very good sound quality,1
Good product,1
Very good and reliable,1
Boat is awesome,1
Value For Money,1
Good product,1
Worth for money,1
Good,1
Too good,1
Best product in this price range,1
Very nice product go for it,1
boat is best,1
Best for medium priced range earphones,1
Good product,1
Good,1
Good,1
Amazing product,1
Is sound good,1
Satisfied,1
Best quality at a great deal price,1
Worth the money,1
A good deal,1
Good for 399 overall music experience is good,1
Its better than i thought,1
Boat earphones,1
Ok,1
Satisfied,1
Amazing product,1
Just go for it Blinldy,1
Cann buyy,1
Good discount,1
Superb Sound but poor quality headphone,1
Loud clear,1
Exceptional,1
Ok ok,1
Good one,1
OK,1
Best buy in budget segment,1
Recommended,1
Awsome,1
Amazingly awesome product,1
Good,1
Nice one,1
Good for this price,1
Worth money,1
Not too much bass,1
Nice,1
An awesome deal given the little money they charge for it,1
Good one,1
Help to resolve the issue very pathetic service from store,1
Avg but good,1
Good product,1
Nice,1
Best cheap earphones,1
Very Good Product,1
OK,1
Best,1
Good product,1
Just go for it,1
Go for it,1
Good Quality and performance,1
Best to buy and also superb built in Quality,1
Sound quality good,1
Nice,1
Good one,1
Overall a quality buy,1
Good for everyday use,1
Very good product,1
Very good sound effects,1
Audio Quality,1
Value For Money,1
Economical,1
Must buy,1
Super value for money Jabardast quality,1
Best in Quality,1
Not bad,1
Not satisfied for warranty features,1
Good Product,1
Nice product,1
Four months review,1
Ok product at this price,1
Go for it,1
Corded earphones,1
Quality,1
Good,1
Read this before buying,1
Earphone for everyone,1
Best quality Boat headphone in this budget,1
Very good,1
Sound quality is very good Value for money product,1
Well worth the money and some more,1
I think this product is best in range,1
Good,1
Very nice product Happy customer,1
Good but does not Last long,1
Best Bass quality earphone,1
Excellent,1
After spending one week here is my experience,1
Nice one at this basic price,1
Pretty darn good,1
Yet another boAt classic,1
Go for it,1
Value for money,1
Worth buying,1
Good,1
Good,1
Give it a try This is my second one,1
Good one,1
Worth buying,1
Good Deal,1
Sound,1
Mumbai Indians,1
Perfect sound quality Cute pink colour Best Price,1
Just got today Will update my review after long time usage,1
BoAt brand as always unbeatable in every aspect,1
Value for Money,1
nice product,1
Nice product value for money,1
Good for regular song listener,1
Product good,1
Great sound quality with bass,1
Best in segment,1
Should go for it,1
Ok,1
Amazing experience,1
Good sound quality,1
Excellent product with great sound and bass quality,1
Great made in India product,1
Bass quality is low,1
Good product at good price,1
Good bass quality,1
What to say its made in India superb,1
Overall nice product,1
Nice product,1
Good Quality,1
Good for audio,1
Happy with product performance Getting more than expected,1
Best in budget made for RCBians,1
It is for within this price,1
Good quality,1
Superb quality I love this earphone,1
GOOD,1
S,1
Great product and premium quality,1
Good product,1
Fantastic,1
Very good product under this price tag,1
Worthy,1
Worth for the amount spent,1
Awesome product,1
Good,1
Durable product,1
Good one,1
Awesome,1
Worth buying,1
Good product at affordable price,1
Need improvement,1
Great for it is Price,1
boAt Bassheads 100,1
Best in the budget,1
Good product,1
Gud Bass,1
Great sound and quality,1
Guarentee,1
good product,1
Mike is very far,1
Really like how it looks,1
Good headphones call quality not so good,1
BoatHead is good product quality of sound is excellent as well bass,1
Quality Sound Quantity Bass,1
Good Product,1
Superb product for this price,1
Excellent,1
Okaish,1
Best Earphone,1
Headphone,1
What,1
Not bad,1
Nice,1
Good in this price,1
Good product,1
1000rs worth product,1
Not working,1
Value For money,1
Awesome,1
Gud quality,1
Worth buying,1
Good but needs to be better,1
Awesome,1
very attractive super bass absolute value for money,1
All round better product,1
Average bad bass but OK price,1
It is worth buying,1
Superb,1
Superb product,1
Good product,1
Satisfied with the purchase,1
Good earphones,1
GREAT BUY EXCELLENT BASS QUALITY,1
Pink color looks so cute Amazing packing too,1
Excellent performance nice sound quality affordable,1
Very nice product,1
Good,1
Warranty service,1
Top product at this range,1
Boat Bassheads 100,1
Good sound,1
Value for the money,1
Best product,1
Must buy,1
Fantastic Sound Quality Value for money,1
Bass is decent,1
Go for it,1
Worth for money,1
Definitely very good and price worthy,1
Total worth,1
Amazing Sound Quality,1
Great Product,1
Ok,1
Extremely satisifaya,1
Best budget headphones,1
Product stopped working,1
Good but need work on refund,1
Good product,1
Build,1
Nothing special,1
Go for it,1
Value for money,1
Worth every penny lightweight,1
Awesome and value for money,1
Perfect and comfortable,1
Best in this price range,1
Excellent,1
Average Product,1
Nice product But how to avail warranty,1
Music quality better than most premium headphones,1
Overall good,1
Pretty Awesome Sound Quality,1
Nice,1
Lovely colour with good quality and sound,1
Good Choice,1
Average Quality,1
It is good value for money,1
undamaged product,1
good,1
Good,1
Worth for buying,1
Nice,1
Fast delivery,1
Functional for Webinar use,1
Best in the budget Totally worth it,1
Good piece,1
Dope headsets,1
Not super awesome but it is a good one,1
Ok,1
Do Not expect bass Decent sound overall,1
Good product,1
Satisfactory,1
Awesome product,1
good,1
Good Sound quality,1
A Quality Product,1
Excellent product,1
Best,1
nice product,1
Quality,1
I have tried a couple of earphones in this range,1
Nice product,1
Wire quality not good,1
At this price these are gold,1
Best wired ear phones under 500,1
Good headphone at this price range,1
Good to buy,1
Overview of my product,1
Durable,1
Good Headset,1
amazing,1
Not that super,1
Good product,1
Best in budget,1
Best headphone with this price,1
stunning,1
Best price Best quality Best storage facility,1
BEST FOR REGULAR USE,1
Value for money,1
Good quality and good durability,1
Good product,1
Good product,1
Good product for the price,1
Value for Money,1
Good I think this is more than expect for me,1
Sound catching capacity,1
Good product,1
Normal product,1
Good one,1
Best,1
Very good product but mike is little bit at a distance,1
Value for money,1
Decent product,1
Get exactly,1
Best price,1
It meets expectation,1
Good for the price cannot expect much,1
Good product,1
Good product,1
Overall good But slightly disappointed,1
Sound quality is good,1
Very good quality earphone Balanced tereble and bass sound Best earphone under 400,1
Everything is good except bass,1
Mic is not working properly,1
Best earphones under 500,1
Good not too good,1
Best earphones ever,1
nice earphone,1
Value for Money Satisfied,1
Boat is best,1
Boat Bassheads 100,1
All rounder headphone,1
good buy,1
Terrific,1
Absolutely loved it,1
Impeccable product,1
Sound quality,1
Amazing for bass,1
Trust me these earphones are worth your money review after 1and half year,1
Value for money,1
Very Satisfied,1
Value for money,1
Best Earphones I have ever buyed,1
It is value for money,1
Awesome,1
Sound quality,1
Good product,1
Above average product,1
If you love music you will love it,1
Good product to buy,1
Best buy good product,1
Very good,1
1 year review,1
Nice one,1
Bahut Achcha hai song is very clear,1
Nice,1
Suprb,1
Good Earphones,1
Good but quality is good,1
bOAt it,1
Go for it,1
Wow,1
Best,1
very good quality,1
Best for price,1
Decent enough for the price,1
BEST BRAND,1
Genuine,1
Good head phones,1
Great for most not for all,1
Bass is too much good it is affordable for budget price,1
A great deal to buy,1
Nice product for the price range,1
Worth the price,1
Best,1
Budget Earphones,1
Must buy product for long term uses,1
Good but not up to the mark,1
Best Bass and Sound Quality,1
Value for money at below 1K,1
Must buy for music lovers,1
Grt,1
So returned,1
Decent earphones,1
Good,1
Best at this price,1
love it,1
Value of Money Product,1
Good product worth the money paid,1
Best earphone for its price,1
Dum hai boss,1
I liked them,1
G,1
Please solve my issue regarding warranty,1
Satisfactory Buy,1
Perfectionist,1
Overall review,1
Good,1
Best for the price,1
Value for money,1
Nice earphone,1
Impressed with the quality,1
Taffy Pink,1
worked for 11 months straight,1
Excellent,1
Absolutely Worth,1
Best earphones in this segment,1
Good product,1
must buy earphones,1
Over all good,1
good quality in price range,1
Good product but the amount is better high,1
Amazing product,1
Great product,1
Happy to have it,1
BEST EARPHONE UNDER 400 CHOOSE IT BLINDLY,1
Good product,1
Goot,1
comfortable does its job,1
Awesome headphones,1
Good product,1
Good sound hard on ears,1
Value For money,1
Boat means best,1
No problem just awesomeness,1
Must buy,1
Good one,1
Exceptional replacement system,1
Cheap and Best,1
Good product,1
Great investment,1
Nice,1
Excellent head phones,1
In daily use Good choise,1
Must buy,1
Good one,1
Good,1
Sneeky Great Earphones,1
Good,1
Boat has done it again,1
Valve for money,1
Nice headphones,1
worth buying,1
Poor packaging quality,1
Good product,1
So far so good,1
Unbelievable product at this price range,1
boat Bass heads,1
SUPER DUPER BOAT EARPHONES,1
Worth buying,1
Awesome earphones Value for the price,1
Red colour beautifull earphone,1
Boat,1
Completely worth it,1
Good Product,1
Good,1
Got good condition headphone on second time first was faulty,1
Good,1
Crystal clear sound with Good Bass,1
Good headphones,1
Good headphones but lack bass punch,1
Good product at this price,1
Boat is not providing good service,1
Good quality,1
G,1
Amazing worthy product,1
Value for money product,1
Best earphone in this range,1
Satisfied,1
Good sound quality,1
Good,1
Goood product,1
Nice,1
Worth purchase for the price a decent product,1
Good,1
Better sound quality,1
Loved the product Worth buying,1
Good,1
MY,1
Loved it,1
Super,1
Durable earphones value for money,1
Value of money,1
Waste,1
Very good,1
Good Purchase,1
Boat at its finest,1
Awesome product Value for money Recommended Go for it,1
super sound quality,1
Good product,1
Reasonably good buy for budget conscious,1
Best earphone under 500,1
Lifetime,1
Bass,1
Highly satisfied,1
Expectations fullfill,1
Worth it,1
Overall a nice quality headphone with 1 Year Warranty,1
Better at noticed price,1
4 star,1
Good earphone in this price range,1
Poor wire material quality,1
Wow,1
Awesome,1
Good,1
Good product,1
Performance up to the mark,1
Good earphones at a low cost,1
Decent earphones at starting price range,1
Good product,1
Allrounder,1
Best one headphone,1
Good,1
Same as JBL T160 I love Boat,1
It is a good product at this cost,1
Good sound quality,1
Boat earphone,1
